Flight Number,Origin,Destination,Departure Time,Arrival Time,Delay (min),Cancelled,Passenger Age,Passenger Gender,Ticket Class,Satisfaction Score,Ticket Price,Ancillary Revenue,Fuel Cost,Profit
FL7654,SEA,DEN,07/07/2023 04:01,07/07/2023 09:43,41,FALSE,68,Other,First,3.2,1710.69,92.57,18998.64,-17195.38
FL3304,BOS,DFW,05/07/2023 12:39,05/07/2023 14:50,0,FALSE,70,Other,Economy,3,924.96,156.38,8775.28,-7693.94
FL3063,ATL,DFW,09/08/2023 12:57,09/08/2023 17:13,168,FALSE,49,Female,Premium Economy,3.1,621.04,216.17,15363.93,-14526.72
FL3920,DEN,JFK,10/09/2023 09:08,10/09/2023 16:01,0,FALSE,60,Male,Economy,5,160.03,64.58,16426.27,-16201.66
FL9594,JFK,LAX,06/03/2023 02:52,06/03/2023 07:50,0,FALSE,62,Other,Premium Economy,2.3,453.64,41.47,11468.43,-10973.32
FL6612,MIA,ORD,03/09/2023 00:53,03/09/2023 04:36,0,FALSE,26,Other,Business,4.9,1513.3,138.36,12627.32,-10975.66
FL2440,BOS,JFK,10/04/2023 09:37,10/04/2023 16:29,0,FALSE,26,Male,Business,3.5,735.46,240.6,10521.69,-9545.63
FL8168,ATL,SEA,06/06/2023 16:09,06/06/2023 20:56,0,TRUE,69,Female,Business,3.6,285.54,29.06,18726.91,-18412.31
FL8209,MIA,JFK,23/04/2023 01:46,23/04/2023 07:47,0,FALSE,42,Male,Economy,4.8,1395.02,203.83,9067.34,-7468.49
FL2857,SEA,DEN,13/04/2023 00:55,13/04/2023 05:00,0,FALSE,73,Male,Economy,3.9,1188.12,211.09,12243.4,-10844.19
FL8899,ATL,DFW,05/05/2023 19:05,05/05/2023 23:43,0,TRUE,63,Male,First,3.4,754.04,180.26,14432.87,-13498.57
FL8078,DEN,MIA,20/09/2023 19:13,20/09/2023 21:50,0,FALSE,28,Other,Premium Economy,2.9,1199.54,243.17,11982.94,-10540.23
FL8011,ORD,SFO,10/12/2023 04:28,10/12/2023 09:30,0,FALSE,73,Female,First,1.7,907.24,51.83,16454.14,-15495.07
FL9620,ATL,JFK,07/07/2023 08:25,07/07/2023 14:54,0,FALSE,22,Other,Economy,5,1798.95,133.91,18879.54,-16946.68
FL5740,JFK,DFW,26/09/2023 18:49,26/09/2023 21:55,48,TRUE,54,Female,Business,2.6,1088.17,107.63,17680.3,-16484.5
FL7264,DFW,JFK,25/08/2023 11:50,25/08/2023 17:52,0,FALSE,49,Male,First,1.7,935.58,169.12,10440.43,-9335.73
FL6294,ATL,DEN,08/11/2023 18:23,08/11/2023 22:45,70,FALSE,70,Male,Economy,1.8,631.15,292.6,14986.92,-14063.17
FL4564,SEA,ORD,28/01/2023 04:32,28/01/2023 09:08,0,TRUE,65,Female,First,1.6,645.14,179.33,5184,-4359.53
FL3744,LAX,ORD,12/11/2023 11:35,12/11/2023 15:44,0,FALSE,18,Other,Premium Economy,2,1637.72,78.09,19292.24,-17576.43
FL6067,ATL,LAX,18/09/2023 19:00,18/09/2023 23:30,58,FALSE,32,Male,Business,4.8,1501.68,260.31,17088.26,-15326.27
FL5926,LAX,DFW,26/03/2023 01:16,26/03/2023 07:54,0,TRUE,44,Other,First,4.9,827.09,22.22,10299.09,-9449.78
FL7130,ORD,ATL,06/09/2023 00:59,06/09/2023 04:42,0,FALSE,64,Other,Economy,2.7,138.32,161.6,15624.41,-15324.49
